Node ID,Recommended nodes
1,[]
2,[]
3,[1 3 4 20 5 22 23 26 27]
4,[]
5,[1 2 3 5 6]
6,[]
7,[]
8,[]
9,[]
10,[1 2 3 4 5 6 7 8 9 10 12]
11,[]
12,[]
13,[]
14,[]
15,[]
16,[]
17,[1 2 3]
18,[]
19,[]
20,[1 2 4 5]
21,[]
22,[]
23,[]
24,[]
25,[7 8 9]
26,[]
27,[]
28,[]
29,[]
30,[]
31,[1 2 3]
32,[]
33,[1 2 5 6 7 8]
34,[]
35,[]
36,[]
37,[]
38,[1 3 4 5]
39,[]
40,[]
41,[]
42,[]
43,[]
44,[]
45,[1 2 3 4 5 8 9 10 11]
46,[]
47,[]
48,[2 4 5 6 7 8 9 10]
49,[]
50,[]
51,[1 2 3 4 5 7 8 9 10]
52,[]
53,[]
54,[]
55,[2 3 5 6 7 8 9]
56,[]
57,[]
58,[]
59,[1 2 3]
60,[]
61,[]
62,[]
63,[]
64,[1 34 13 14 15 18 19 20 21 23 26 27 30 31]
65,[]
66,[]
67,[]
68,[1 3 4 5 7 9 12]
69,[]
70,[]
71,[1 2 3]
72,[2 3 4]
73,[]
74,[13 14]
75,[]
76,[1 2 4 5]
77,[1 3]
78,[]
79,[]
80,[]
81,[]
82,[1 2 3]
83,[]
84,[]
85,[1 2]
86,[21 25]
87,[]
88,[4 5 6]
89,[]
90,[]
91,[]
92,[]
93,[3 4]
94,[6 9]
95,[6 7 8 9 12 13 14 15 17 19 21 22 24 25 26]
96,[96 4 100 92 93 95]
97,[5 6 7 9 10 12 13 14 15 16 17 18 19 21 22]
98,[32 1 2 3 16 17 19 21 22 23 24 25 26 30 31]
99,[48 65 50 56 57 11 75 60 61 93 62 79]
100,[1 2]
